"book_id","dua_global_id","ID","dua_segment_id","top","arabic_diacless","arabic","transliteration","translations","bottom","reference","app_reference"
"1","1","0","1","মহান আল্লাহ বলেন:","فاذكروني اذكركم واشكروا لي ولا تكفرون","فَاذْكُرُوْنِيْٓ اَذْكُرْكُمْ وَاشْكُرُوْا لِيْ وَلَا تَكْفُرُوْنِ","","“অতএব তোমরা আমাকে স্মরণ কর, আমিও তোমাদেরকে স্মরণ করব। আর তোমরা আমার প্রতি কৃতজ্ঞতা প্রকাশ কর এবং আমার প্রতি অকৃতজ্ঞ হয়ো না।”","","সূরা আল-বাকারাহ্‌ - ২:১৫২",""
"1","1","0","2","","يٰايها الذين اٰمنوا اذكروا اللٰه ذكرا كثيرا","يٰٓاَيُّهَا الَّذِيْنَ اٰمَنُوا اذْكُرُوا اللّٰهَ ذِكْرًا كَثِيْرًا","","“হে ঈমানদারগণ! তোমরা আল্লাহকে অধিক পরিমাণে স্মরণ কর”","","সূরা আল-আহযাব - ৩৩:৪১",""
"1","1","0","3","","والذٰكرين اللٰه كثيرا والذٰكرٰت اعد اللٰه لهم مغفرة واجرا عظيما","وَالذّٰكِرِيْنَ اللّٰهَ كَثِيْرًا وَّالذّٰكِرٰتِ اَعَدَّ اللّٰهُ لَهُمْ مَّغْفِرَةً وَّاَجْرًا عَظِيْمًا","","“আর আল্লাহকে অধিক পরিমাণে স্মরণকারী পুরুষ ও নারী: আল্লাহ তাদের জন্য ক্ষমা ও বিরাট পুরস্কার প্রস্তুত করে রেখেছেন।”","","সূরা আল-আহযাব - ৩৩:৩৫।",""
"1","1","0","4","","واذكر ربك في نفسك تضرعا وخيفة ودون الجهر من القول بالغدو والاٰصال ولا تكن من الغٰفلين","وَاذْكُرْ رَّبَّكَ فِيْ نَفْسِكَ تَضَرُّعًا وَّخِيْفَةً وَّدُوْنَ الْجَهْرِ مِنَ الْقَوْلِ بِالْغُدُوِّ وَالْاٰصَالِ وَلَا تَكُنْ مِّنَ الْغٰفِلِيْنَ","","“আর আপনি আপনার রব্বকে স্মরণ করুন মনে মনে, মিনতি ও ভীতিসহকারে, অনুচ্চস্বরে; সকালে ও সন্ধ্যায়। আর উদাসীনদের অন্তর্ভুক্ত হবেন না।”","সূরা আল-আ‘রাফ: ২০৫। 

তাছাড়া নবী সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম বলেন, “যে ব্যক্তি তার রবের যিক্‌র (স্মরণ) করে, আর যে ব্যক্তি তার রবের যিক্‌র করে না— তারা যেন জীবিত আর মৃত।” [১] 

রাসূলুল্লাহ্‌ সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম আরও বলেন, “আমি কি তোমাদেরকে তা জানাবো না— আমলের মধ্যে যা সর্বোত্তম, তোমাদের মালিক (আল্লাহ্‌র) কাছে যা অত্যন্ত পবিত্র, তোমাদের জন্য যা অধিক মর্যাদা বৃদ্ধিকারী, (আল্লাহ্‌র পথে) সোনা-রূপা ব্যয় করার তুলনায় যা তোমাদের জন্য উত্তম এবং তোমরা তোমাদের শত্রুদের মুখোমুখি হয়ে তাদেরকে হত্যা এবং তারা তোমাদের হত্যা করার চাইতেও অধিকতর শ্রেষ্ঠ?” সাহাবীগণ বললেন, অবশ্যই হ্যাঁ। তিনি বললেন, “আল্লাহ্ তা‘আলার যিক্‌র।” [২] 

রাসূলুল্লাহ সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম আরও বলেন, “আল্লাহ তা‘আলা বলেন: আমার বান্দা আমার সম্পর্কে যেরূপ ধারণা করে, আমাকে সে তদ্রূপই পাবে; আর যখন সে আমাকে স্মরণ করে, তখন আমি তার সাথে থাকি। সুতরাং যদি সে মনে মনে আমাকে স্মরণ করে, আমিও আমার মনে তাকে স্মরণ করি। আর যদি সে কোনো সমাবেশে আমাকে স্মরণ করে, তাহলে আমি তাকে এর চাইতে উত্তম সমাবেশে স্মরণ করি। আর সে যদি আমার দিকে এক বিঘত পরিমাণ নিকটবর্তী হয়, তাহলে আমি তার দিকে এক হাত পরিমাণ নিকটবর্তী হই। সে এক হাত পরিমাণ নিকটবর্তী হলে আমি তার দিকে এক বাহু পরিমাণ নিকটবর্তী হই। আর সে যদি আমার দিকে হেঁটে আসে, আমি তার দিকে দ্রুতবেগে যাই।” [৩] 

আব্দুল্লাহ ইবন বুসর রাদিয়াল্লাহু ‘আনহু থেকে বর্ণিত, এক ব্যক্তি আরয করল, হে আল্লাহ্‌র রাসূল! ইসলামের বিধিবিধান আমার জন্য বেশি হয়ে গেছে। কাজেই আপনি আমাকে এমন একটি বিষয়ের খবর দিন, যা আমি শক্ত করে আঁকড়ে ধরব। রাসূলুল্লাহ সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম বলেন, “তোমরা জিহ্বা যেনো সর্বক্ষণ আল্লাহ্‌র যিক্‌রে সজীব থাকে।” [৪] 

রাসূলুল্লাহ সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম আরও বলেন, “যে ব্যক্তি আল্লাহ্‌র কিতাব (কুরআন) থেকে একটি হরফ পাঠ করে, সে তার বিনিময়ে একটি সওয়াব পায়; আর একটি সওয়াব হবে দশটি সওয়াবের সমান। আমি আলিফ, লাম ও মীমকে একটি হরফ বলছি না। বরং ‘আলিফ’ একটি হরফ, ‘লাম’ একটি হরফ এবং ‘মীম’ একটি হরফ।” [৫] 

উকবা ইবন আমের রাদিয়াল্লাহু ‘আনহু বলেন, একবার রাসূলুল্লাহ সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম বের হলেন। আমরা তখন সুফ্‌ফায় (মসজিদে নববীর আঙ্গিনায়) অবস্থান করছিলাম। তিনি বললেন, “তোমাদের মধ্যে কে আছে, যে প্রতিদিন সকালে বুতহান বা আকীক উপত্যকায় গিয়ে সেখান থেকে কোনো প্রকার পাপ বা আত্মীয়তার বন্ধন ছিন্ন না করে উঁচু কুঁজবিশিষ্ট দু’টো উষ্ট্রী নিয়ে আসতে পছন্দ করে”? আমরা বললাম, হে আল্লাহ্‌র রাসূল! আমরা তা পছন্দ করি। তিনি বললেন: “তোমাদের কেউ কি এরূপ করতে পার না যে, সকালে মসজিদে গিয়ে মহান আল্লাহ্‌র কিতাব থেকে দুটো আয়াত জানবে অথবা পড়বে; এটা তার জন্য দু’টো উষ্ট্রীর তুলনায় উত্তম। আর তিনটি আয়াত তিনটি উষ্ট্রী থেকে উত্তম, চারটি আয়াত চারটি উষ্ট্রী থেকে উত্তম। আর (শুধু উষ্ট্রীই নয়, বরং একইসাথে) সমসংখ্যক উট লাভ করা থেকেও তা উত্তম হবে।” [৬] 

রাসূলুল্লাহ সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম আরও বলেন: “যে ব্যক্তি এমন কোনো বৈঠকে (মজলিসে) বসেছে যেখানে সে আল্লাহ্‌র যিক্‌র করে নি, তার সে বসাই আল্লাহ্‌র নিকট থেকে তার জন্য আফসোস ও নৈরাশ্যজনক হবে। আর যে ব্যক্তি এমন কোনো শয়নে শুয়েছে যেখানে সে আল্লাহ্‌র যিক্‌র করে নি, তার সে শোয়াই আল্লাহ্‌র নিকট থেকে তার জন্য আফসোস ও নৈরাশ্যজনক হবে।” [৭] 

রাসূলুল্লাহ্‌ সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম আরও বলেন: “যদি কোনো দল কোনো বৈঠকে বসে আল্লাহ্‌র যিক্‌র না করে এবং তাদের নবীর ওপর দরূদও পাঠ না করে, তাহলে তাদের সেই বৈঠক তাদের জন্য কমতি ও আফসোসের কারণ হবে। আল্লাহ ইচ্ছা করলে তাদেরকে শাস্তি দেবেন, অথবা তিনি চাইলে তাদের ক্ষমা করবেন।” [৮] 

রাসূলুল্লাহ্‌ সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম আরও বলেন : “যদি কোনো একদল লোক এমন কোনো বৈঠক থেকে উঠল, যেখানে তারা আল্লাহ্‌র নাম স্মরণ করে নি, তবে তারা যেন গাধার লাশের কাছ থেকে উঠে আসল। আর এরূপ মজলিস তাদের জন্য আফসোসের কারণ হবে”। আল্লাহ ইচ্ছা করলে তাদেরকে শাস্তি দেবেন, অথবা তিনি চাইলে তাদের ক্ষমাকরবেন।” [৯]","[১] বুখারী, ফাতহুল বারীসহ ১১/২০৮, নং ৬৪০৭; মুসলিম, ১/৫৩৯, নং ৭৭৯, আর তার শব্দ হচ্ছে, 
«مَثَلُ الْبَيْتِ الَّذِي يُذْكَرُ اللّٰهُ فِيهِ، وَالْبَيْتِ الَّذِي لَا يُذْكَرُ اللّٰهُ فِيهِ، مَثَلُ الْحَيِّ وَالْمَيِّتِ»
“যে ঘরে আল্লাহ্‌র যিক্‌র হয়, আর যে ঘরে আল্লাহ্‌র যিক্‌র হয় না— তার দৃষ্টান্ত যেন জীবিত আর মৃত।”
[২] তিরমিযী ৫/৪৫৯, নং ৩৩৭৭; ইবন মাজাহ্‌ ২/১৬৪৫, নং ৩৭৯০; আরও দেখুন, সহীহ ইবন মাজাহ্‌ ২/৩১৬; সহীহ তিরমিযী ৩/১৩৯। 
[৩] বুখারী ৮/১৭১, নং ৭৪০৫; মুসলিম ৪/২০৬১, নং ২৬৭৫। তবে শব্দটি বুখারীর। 
[৪] তিরমিযী ৫/৪৫৮, নং ৩৩৭৫; ইবন মাজাহ্‌ ২/১২৪৬, নং ৩৭৯[৩] আর শাইখ আলবানী একে সহীহ বলেছেন। দেখুন, সহীহ আত-তিরমিযী, ৩/১৩৯; সহীহ ইবন মাজাহ্ ২/৩১৭। 
[৫] তিরমিযী ৫/১৭৫, নং ২৯১০। শাইখ আলবানী একে সহীহ বলেছেন; দেখুন, সহীহুত তিরমিযী, ৩/৯; সহীহ জামে সগীর-৫/৩৪০। 
[৬] মুসলিম, ১/৫৫৩; নং ৮০৩ 
[৭] আবূ দাউদ ৪/২৬৪, নং ৪৮৫৬ ও অন্যান্য। দেখুন, সহীহুল জামে‘ ৫/৩৪২
[৮] তিরমিযী, ৫/৪৬১, নং ৩৩৮০। আরও দেখুন, সহীহুত তিরমিযী, ৩/১৪০। 
[৯] আবূ দাউদ ৪/২৬৪, নং ৪৮৫৫; আহমদ ২/৩৮৯ নং ১০৬৮০। আরও দেখুন, সহীহুল জামে‘ ৫/১৭৬।","1:2:152,1:33:41,1:33:35,1:7:205,2:1:80:102,2:2:6:251,2:5:48:8,2:6:33:135,2:1:97:34,2:2:50:1,2:5:48:6,2:4:43:84,2:5:48:11,2:4:43:83"
"1","2","1.1","","","الحمد للٰه الذي احيانا بعد ما اماتنا، واليه النشور","اَلْحَمْدُ لِلّٰهِ الَّذِيْٓ اَحْيَانَا بَعْدَ مَآ اَمَاتَنَا، وَاِلَيْهِ النُّشُوْرُ","আলহামদু লিল্লা-হিল্লাযী আহ্ইয়া-না- বা‘দা মা- আমা-তানা- ওয়া ইলাইহিন্ নুশূর","হামদ-প্রশংসা আল্লাহ্‌র জন্য, যিনি (নিদ্রারূপ) মৃত্যুর পর আমাদেরকে জীবিত করলেন, আর তাঁরই নিকট সকলের পুনরুত্থান","","বুখারী ফাতহুল বারী ১১/১১৩, নং ৬৩১৪; মুসলিম ৪/২০৮৩, নং ২৭১১","2:1:80:11,2:2:48:80,2:1:80:9,2:1:80:21,2:1:80:22,2:1:97:23,2:1:97:24,2:4:43:277,2:6:34:54"
"1","3","1.2","","","لا الٰه الا اللٰه وحدهٗ لا شريك لهٗ، له الملك وله الحمد، وهو علٰى كل شيء قدير، سبحان اللٰه، والحمد للٰه، ولا الٰه الا اللٰه، واللٰه اكبر، ولا حول ولا قوة الا باللٰه العلي العظيم، رب اغفر لي","لَآ اِلٰهَ اِلَّا اللّٰهُ وَحْدَهٗ لَا شَرِيْكَ لَهٗ، لَهُ الْمُلْكُ وَلَهُ الْحَمْدُ، وَهُوَ عَلٰى كُلِّ شَيْءٍ قَدِيْرٌ، سُبْحَانَ اللّٰهِ، وَالْحَمْدُ لِلّٰهِ، وَلَآ اِلٰهَ اِلَّا اللّٰهُ، وَاللّٰهُ اَكْبَرُ، وَلَا حَوْلَ وَلَا قُوَّةَ اِلَّا بِاللّٰهِ الْعَلِيِّ الْعَظِيْمِ، رَبِّ اغْفِرْ لِيْ","লা ইলা-হা ইল্লাল্লা-হু ওয়াহ্‌দাহূ লা- শারীকালাহূ, লাহুল মুলকু, ওয়ালাহুল হামদু, ওয়াহুয়া ‘আলা কুল্লি শায়ইন ক্বাদীর। সুবহা-নাল্লাহি, ওয়ালহামদু লিল্লাহি, ওয়া লা ইলা-হা ইল্লাল্লা-হু, ওয়াল্লা-হু আকবার, ওয়া লা- হাওলা ওয়ালা- কুওয়াতা ইল্লা- বিল্লা-হিল ‘আলিয়্যিল ‘আযীম, রাব্বিগফির লী","একমাত্র আল্লাহ ছাড়া কোনো হক্ব ইলাহ নেই, তাঁর কোনো শরীক নেই; রাজত্ব তাঁরই, প্রশংসাও তাঁরই; আর তিনি সকল কিছুর ওপর ক্ষমতাবান। আল্লাহ পবিত্র-মহান। সকল হামদ-প্রশংসা আল্লাহ্‌র। আল্লাহ ছাড়া কোনো হক্ব ইলাহ নেই। আল্লাহ সবচেয়ে বড়। সুউচ্চ সুমহান আল্লাহর সাহায্য ছাড়া (পাপ কাজ থেকে দূরে থাকার) কোনো উপায় এবং (সৎকাজ করার) কোনো শক্তি কারো নেই। হে রব্ব ! আমাকে ক্ষমা করুন","যে ব্যক্তি তা বলবে তাকে ক্ষমা করে দেওয়া হবে। যদি সে দো‘আ করে, তবে তার দো‘আ কবুল হবে। যদি সে উঠে ওযু করে নামায পড়ে, তবে তার নামায কবুল করা হবে।","বুখারী: ফাতহুল বারী, ৩/৩৯, নং ১১৫৪ হাদীসের ভাষ্য ইবন মাজাহ এর অনুরূপ। দেখুন, সহীহ ইবন মাজাহ্‌: ২/৩৩৫।","2:1:19:35,2:6:34:52,2:5:48:45"
"1","4","1.3","","","الحمد للٰه الذي عافاني في جسدي، ورد علي روحي، واذن لي بذكرهٖ","اَلْحَمْدُ لِلّٰهِ الَّذِيْ عَافَانِيْ فِيْ جَسَدِيْ، وَرَدَّ عَلَيَّ رُوْحِيْ، وَاَذِنَ لِيْ بِذِكْرِهٖ","আল্‌হামদু লিল্লা-হিল্লাযী ‘আ-ফা-নী ফী জাসাদী, ওয়ারদ্দা ‘আলাইয়্যা রূহী ওয়া আযিনা লী বিযিকরিহী","সকল হামদ-প্রশংসা আল্লাহ্‌র জন্য, যিনি আমার দেহকে নিরাপদ করেছেন, আমার রূহকে আমার নিকট ফেরত দিয়েছেন এবং আমাকে তাঁর যিক্‌র করার অনুমতি (সুযোগ) দিয়েছেন","","তিরমিযী ৫/৪৭৩, নং ৩৪০১ দেখুন, সহীহুত তিরমিযী, ৩/১৪৪","2:5:48:32"
"1","5","1.4","1","","ان فى خلق السمٰوٰت والارض واختلاف اليل والنهار لاٰيٰت لاولى الالباب","اِنَّ فِىْ خَلْقِ السَّمٰوٰتِ وَالْاَرْضِ وَاخْتِلَافِ الَّيْلِ وَالنَّهَارِ لَاٰيٰتٍ لِّاُوْلِى الْاَلْبَابِ","ইন্না ফী খলকিস্ সামাওয়াতি ওয়াল আরদি ওয়াখতিলা-ফিল লাইলি ওয়ান্নাহা-রি লাআয়া-তিল্ লিউলিল্ আলবা-ব।","নিশ্চয় আসমানসমূহ ও যমীনের সৃষ্টিতে, রাত ও দিনের পরিবর্তনে নিদর্শনাবলী রয়েছে বোধশক্তি সম্পন্ন লোকদের জন্য।","","",""
"1","5","1.4","2","","الذين يذكرون اللٰه قياما وقعودا وعلٰى جنوبهم ويتفكرون فى خلق السمٰوٰت والارض‌ۚ ربنا ما خلقت هٰذا باطلاۚ سبحٰنك فقنا عذاب النار‏","الَّذِيْنَ يَذْكُرُوْنَ اللّٰهَ قِيَامًا وَّقُعُوْدًا وَّعَلٰى جُنُوْبِهِمْ وَيَتَفَكَّرُوْنَ فِىْ خَلْقِ السَّمٰوٰتِ وَالْاَرْضِ‌ۚ رَبَّنَا مَا خَلَقْتَ هٰذَا بَاطِلًاۚ سُبْحٰنَكَ فَقِنَا عَذَابَ النَّارِ‏","আল্লাযীনা ইয়াযকুরূনাল্লাহা কিয়া-মাও ওয়াকু‘উদাঁও ওয়া‘আলা জুনূবিহিম ওয়াইয়াতাফাক্কারূনা ফী খলকিস্ সামাওয়াতি ওয়াল আরদি, রববানা মা খালাকতা হাযা বা-তিলান, সুবহানাকা ফাকিনা ‘আযা-বান্ নার।","যারা দাঁড়িয়ে, বসে ও শুয়ে আল্লাহ্‌র স্মরণ করে এবং আসমানসমূহ ও যমীনের সৃষ্টি সম্বন্ধে চিন্তা করে, আর বলে, ‘হে আমাদের রব! আপনি এগুলো অনর্থক সৃষ্টি করেননি, আপনি অত্যন্ত পবিত্র, অতএব আপনি আমাদেরকে আগুনের শাস্তি হতে রক্ষা করুন।’","","",""
"1","5","1.4","3","","ربنا انك من تدخل النار فقد اخزيتهٗ ‌ؕ وما للظٰلمين من انصار","رَبَّنَآ اِنَّكَ مَنْ تُدْخِلِ النَّارَ فَقَدْ اَخْزَيْتَهٗ ‌ؕ وَمَا لِلظّٰلِمِيْنَ مِنْ اَنْصَارٍ","রববানা ইন্নাকা মান তুদখিলিন্ না-রা ফাকাদ আখযাইতাহু, ওয়ামা লিয্যালিমীনা মিন আনসা-র।","‘হে আমাদের রব! আপনি কাউকেও আগুনে নিক্ষেপ করলে তাকে তো আপনি নিশ্চয়ই হেয় করলেন এবং যালেমদের কোন সাহায্যকারী নেই।’","","",""
