"dua_global_id","book_id","chap_id","dua_id","chapname","duaname","tags","ID","category"
"1","1","0","","যিক্‌রের ফযীলত","যিক্‌রের ফযীলত","জিকির স্মরণ ফযিলত যিকির","0","2"
"2","1","1","1","ঘুম থেকে জেগে উঠার সময়ের যিক্‌রসমূহ","ঘুম থেকে জেগে উঠার সময়ের যিক্‌রসমূহ #১","ঘুম উঠা জেগে","1.1","1"
"3","1","1","2","","ঘুম থেকে জেগে উঠার সময়ের যিক্‌রসমূহ #২","ঘুম উঠা জেগে","1.2","1"
"4","1","1","3","","ঘুম থেকে জেগে উঠার সময়ের যিক্‌রসমূহ #৩","ঘুম উঠা জেগে","1.3","1"
"5","1","1","4","","সূরা আল-ইমরান আয়াত ১৯০-২০০","ঘুম উঠা জেগে","1.4","1"
"6","1","2","","কাপড় পরিধানের দো‘আ","কাপড় পরিধানের দো‘আ","পোশাক","2","19"
"7","1","3","","নতুন কাপড় পরিধানের দো‘আ","নতুন কাপড় পরিধানের দো‘আ","পোশাক","3","19"
"9","1","4","1","অপরকে নতুন কাপড় পরিধান করতে দেখলে তার জন্য দো‘আ","অপরকে নতুন কাপড় পরিধান করতে দেখলে তার জন্য দো‘আ #২","পোশাক","4.1","19"
"8","1","4","2","","অপরকে নতুন কাপড় পরিধান করতে দেখলে তার জন্য দো‘আ #১","পোশাক","4.2","19"
"10","1","5","","কাপড় খুলে রাখার সময় কী বলবে","কাপড় খুলে রাখার সময় কী বলবে","পোশাক খোলা","5","19"
"11","1","6","","টয়লেটে প্রবেশের দো‘আ","টয়লেটে প্রবেশের দো‘আ","বাথরুম টয়লেট শৌচাগার ওয়াশরুম","6","7"
"12","1","7","","টয়লেট থেকে বের হওয়ার দো‘আ","টয়লেট থেকে বের হওয়ার দো‘আ","বাথরুম টয়লেট শৌচাগার ওয়াশরুম","7","7"
"13","1","8","","ওযুর পূর্বে যিক্‌র","ওযুর পূর্বে যিক্‌র","ওজু উজু উযু","8","7"
"14","1","9","1","ওযু শেষ করার পর যিক্‌র","ওযু শেষ করার পর যিক্‌র #১","ওজু উজু উযু","9.1","7"
"15","1","9","2","","ওযু শেষ করার পর যিক্‌র #২","ওজু উজু উযু","9.2","7"
"16","1","9","3","","ওযু শেষ করার পর যিক্‌র #৩","ওজু উজু উযু","9.3","7"
"17","1","10","1","বাড়ি থেকে বের হওয়ার সময়ের যিক্‌র","বাড়ি থেকে বের হওয়ার সময়ের যিক্‌র #১","ঘর","10.1","11"
"18","1","10","2","","বাড়ি থেকে বের হওয়ার সময়ের যিক্‌র #২","ঘর","10.2","11"
"19","1","11","1","ঘরে প্রবেশের সময় যিক্‌র","ঘরে প্রবেশের সময় যিক্‌র #১","","11.1","4"
"352","1","11","2","","ঘরে প্রবেশের সময় যিকর #২","","11.2","4"
"20","1","12","","মসজিদে যাওয়ার সময়ে পড়ার দো‘আ","মসজিদে যাওয়ার সময়ে পড়ার দো‘আ","","12","8"
"21","1","13","","মসজিদে প্রবেশের দো‘আ","মসজিদে প্রবেশের দো‘আ","","13","8"
"22","1","14","1","মসজিদ থেকে বের হওয়ার দো‘আ","মসজিদ থেকে বের হওয়ার দো‘আ","","14.1","8"
"353","1","14","2","","মসজিদ থেকে বের হওয়ার দোয়া #২","","14.2","8"
"23","1","15","","আযানের যিক্‌রসমূহ","আযানের যিক্‌রসমূহ","আজান","15","8"
"24","1","16","1","সালাতের শুরুতে দো‘আ","সালাতের শুরুতে দো‘আ #১","নামায সালাহ স্বলাত সলাত","16.1","8"
"25","1","16","2","","সালাতের শুরুতে দো‘আ #২","নামায সালাহ স্বলাত সলাত","16.2","8"
"26","1","16","3","","সালাতের শুরুতে দো‘আ #৩","নামায সালাহ স্বলাত সলাত","16.3","8"
"27","1","16","4","","সালাতের শুরুতে দো‘আ #৪","নামায সালাহ স্বলাত সলাত","16.4","8"
"28","1","16","5","","সালাতের শুরুতে দো‘আ #৫","নামায সালাহ স্বলাত সলাত","16.5","8"
"29","1","16","6","","সালাতের শুরুতে দো‘আ #৬","নামায সালাহ স্বলাত সলাত","16.6","8"
"347","1","16","7","","সালাতের শুরুতে দো'আ #৭","নামায সালাহ স্বলাত সলাত","16.7","8"
"30","1","17","1","রুকূ‘র দো‘আ","রুকূ‘র দো‘আ #১","রুকু নামায সালাহ স্বলাত সলাত","17.1","8"
"31","1","17","2","","রুকূ‘র দো‘আ #২","রুকু নামায সালাহ স্বলাত সলাত","17.2","8"
"32","1","17","3","","রুকূ‘র দো‘আ #৩","রুকু নামায সালাহ স্বলাত সলাত","17.3","8"
"33","1","17","4","","রুকূ‘র দো‘আ #৪","রুকু নামায সালাহ স্বলাত সলাত","17.4","8"
"34","1","17","5","","রুকূ‘র দো‘আ #৫","রুকু নামায সালাহ স্বলাত সলাত","17.5","8"
"35","1","18","1","রুকু থেকে উঠার দো‘আ","রুকু থেকে উঠার দো‘আ #১","","18.1","8"
"36","1","18","2","","রুকু থেকে উঠার দো‘আ #২","","18.2","8"
"37","1","18","3","","রুকু থেকে উঠার দো‘আ #৩","","18.3","8"
"38","1","19","1","সিজদার দো‘আ","সিজদার দো‘আ #১","সেজদা সিজদাহ নামায সালাহ স্বলাত সলাত","19.1","8"
"39","1","19","2","","সিজদার দো‘আ #২","সেজদা সিজদাহ নামায সালাহ স্বলাত সলাত","19.2","8"
"40","1","19","3","","সিজদার দো‘আ #৩","সেজদা সিজদাহ নামায সালাহ স্বলাত সলাত","19.3","8"
"41","1","19","4","","সিজদার দো‘আ #৪","সেজদা সিজদাহ নামায সালাহ স্বলাত সলাত","19.4","8"
"42","1","19","5","","সিজদার দো‘আ #৫","সেজদা সিজদাহ নামায সালাহ স্বলাত সলাত","19.5","8"
"43","1","19","6","","সিজদার দো‘আ #৬","সেজদা সিজদাহ নামায সালাহ স্বলাত সলাত","19.6","8"
"44","1","19","7","","সিজদার দো‘আ #৭","সেজদা সিজদাহ নামায সালাহ স্বলাত সলাত","19.7","8"
"348","1","19","8","","সিজদার দো‘আ #৮","সেজদা সিজদাহ নামায সালাহ স্বলাত সলাত","19.8","8"
