"dua_global_id","dua_segment_id","word_id","arabic","bn"
"1","1","0","فَاذْكُرُوْنِيْٓ","সুতরাং তোমরা স্মরণ কর আমাকে"
"1","1","1","اَذْكُرْكُمْ","আমিও স্মরণ রাখবো তোমাদেরকে"
"1","1","2","وَاشْكُرُوْا","এবং কৃতজ্ঞতা প্রকাশ কর"
"1","1","3","لِيْ","আমার"
"1","1","4","وَلَا","এবং না"
"1","1","5","تَكْفُرُوْنِ","অকৃতজ্ঞ হওয়া"
"1","2","0","يٰٓاَيُّهَا","ওহে"
"1","2","1","الَّذِيْنَ","যারা"
"1","2","2","اٰمَنُوا","ঈমান এনেছো"
"1","2","3","اذْكُرُوا","তোমরা স্মরণ কর"
"1","2","4","اللّٰهَ","আল্লাহকে"
"1","2","5","ذِكْرًا","স্মরণ কর"
"1","2","6","كَثِيْرًا","অধিক পরিমাণে"
"1","3","0","وَالذّٰكِرِيْنَ","এবং স্মরণকারী পুরুষগন"
"1","3","1","اللّٰهَ","আল্লাহকে"
"1","3","2","كَثِيْرًا","অধিক পরিমাণে"
"1","3","3","وَّالذّٰكِرٰتِ","এবং স্মরণকারী নারীগন"
"1","3","4","اَعَدَّ","নির্দিষ্ট করে রেখেছেন"
"1","3","5","اللّٰهُ","আল্লাহ"
"1","3","6","لَهُمْ","তাদের জন্য"
"1","3","7","مَّغْفِرَةً","ক্ষমা"
"1","3","8","وَّاَجْرًا","এবং পুরস্কার"
"1","3","9","عَظِيْمًا","বিরাট"
"1","4","0","وَاذْكُرْ","এবং স্মরণ করুন"
"1","4","1","رَّبَّكَ","আপনার রব্বকে"
"1","4","2","فِيْ","মধ্যে"
"1","4","3","نَفْسِكَ","আপনার মনের"
"1","4","4","تَضَرُّعًا","সবিনয়ে"
"1","4","5","وَّخِيْفَةً","এবং ভীতিসহকারে"
"1","4","6","وَّدُوْنَ","এবং ব্যতীত"
"1","4","7","الْجَهْرِ","উচ্চস্বর"
"1","4","8","مِنَ","থেকে"
"1","4","9","الْقَوْلِ","কথার"
"1","4","10","بِالْغُدُوِّ","সকালে"
"1","4","11","وَالْاٰصَالِ","এবং সন্ধায়"
"1","4","12","وَلَا","এবং না"
"1","4","13","تَكُنْ","অন্তর্ভুক্ত হবেন"
"1","4","14","مِّنَ","থেকে/হতে"
"1","4","15","الْغٰفِلِيْنَ","উদাসীন/গাফিলদের"
"2","1","0","اَلْحَمْدُ","সমস্ত প্রশংসা"
"2","1","1","لِلّٰهِ","আল্লাহ্‌র জন্য"
"2","1","2","الَّذِيْٓ","যিনি"
"2","1","3","اَحْيَانَا","আমাদেরকে জীবিত ( পুনর্জাগরিত) করলেন"
"2","1","4","بَعْدَ","পরে"
"2","1","5","مَآ","যা"
"2","1","6","اَمَاتَنَا،","আমাদের মৃত্যুর (নিদ্রারূপ)"
"2","1","7","وَاِلَيْهِ","এবং তাঁরই নিকট"
"2","1","8","النُّشُوْرُ","পুনরুত্থান"
"3","1","0","لَآ","নাই (কোনো)"
"3","1","1","اِلٰهَ","মাবুদ/ইলাহ"
"3","1","2","اِلَّا","ছাড়া"
"3","1","3","اللّٰهُ","আল্লাহ"
"3","1","4","وَحْدَهٗ","এবং তিনি এক"
"3","1","5","لَا","নাই"
"3","1","6","شَرِيْكَ","শরীক/অংশীদার"
"3","1","7","لَهٗ،","তাঁর"
"3","1","8","لَهُ","তাঁরই"
"3","1","9","الْمُلْكُ","রাজত্ব"
"3","1","10","وَلَهُ","ও তাঁর"
"3","1","11","الْحَمْدُ،","সমস্ত প্রশংসাও"
"3","1","12","وَهُوَ","এবং তিনি"
"3","1","13","عَلٰى","উপর"
"3","1","14","كُلِّ","সকল"
"3","1","15","شَيْءٍ","কিছুর"
"3","1","16","قَدِيْرٌ،","মহাপ্রতাপশালী/ক্ষমতাবান"
"3","1","17","سُبْحَانَ","পবিত্রতা ঘোষণা করছি"
"3","1","18","اللّٰهِ،","আল্লাহর"
"3","1","19","وَالْحَمْدُ","এবং সকল প্রশংসা"
"3","1","20","لِلّٰهِ،","আল্লাহর জন্য"
"3","1","21","وَلَآ","এবং নাই"
"3","1","22","اِلٰهَ","মাবুদ"
"3","1","23","اِلَّا","ছাড়া"
"3","1","24","اللّٰهُ،","আল্লাহ"
"3","1","25","وَاللّٰهُ","এবং আল্লাহ"
"3","1","26","اَكْبَرُ،","সর্বশ্রেষ্ঠ"
"3","1","27","وَلَا","এবং নেই"
